State_Code_Dest,State_Abbrv,State_Code_Origin,State_Abbrv,State_Name,Return_Num,Exmpt_Num,Aggr_AGI
6,CA,53,WA,WASHINGTON,13144,24267,598339
6,CA,36,NY,NEW YORK,13081,18681,805802
6,CA,12,FL,FLORIDA,10717,18266,443657
6,CA,57,FR,Foreign,9768,18565,434347
6,CA,17,IL,ILLINOIS,8746,14578,489615
6,CA,41,OR,OREGON,7982,14185,289654
6,CA,8,CO,COLORADO,7497,13275,338515
6,CA,51,VA,VIRGINIA,6793,13228,366727
6,CA,25,MA,MASSACHUSETTS,5759,8364,364192
6,CA,13,GA,GEORGIA,5227,9891,217959
6,CA,37,NC,NORTH CAROLINA,5078,10056,231953
6,CA,42,PA,PENNSYLVANIA,4861,7560,260634
6,CA,15,HI,HAWAII,4736,8599,180629
6,CA,26,MI,MICHIGAN,4722,8047,219081
6,CA,34,NJ,NEW JERSEY,4575,7715,356195
6,CA,39,OH,OHIO,4527,7365,211531
6,CA,49,UT,UTAH,4226,9174,158249
6,CA,24,MD,MARYLAND,3412,5663,176622
6,CA,29,MO,MISSOURI,3207,5682,150162
6,CA,27,MN,MINNESOTA,3136,5203,151138
6,CA,47,TN,TENNESSEE,2656,5034,109879
6,CA,55,WI,WISCONSIN,2606,4324,124395
6,CA,18,IN,INDIANA,2603,4543,102958
6,CA,35,NM,NEW MEXICO,2256,4119,83931
6,CA,16,ID,IDAHO,2254,4505,77325
6,CA,9,CT,CONNECTICUT,2146,3421,135945
6,CA,40,OK,OKLAHOMA,2086,4051,71976
6,CA,20,KS,KANSAS,1802,3356,72148
6,CA,45,SC,SOUTH CAROLINA,1750,3280,76513
6,CA,22,LA,LOUISIANA,1593,2831,57627
6,CA,19,IA,IOWA,1577,2759,51125
6,CA,21,KY,KENTUCKY,1284,2435,48960
6,CA,1,AL,ALABAMA,1283,2465,46183
6,CA,5,AR,ARKANSAS,1261,2414,42595
6,CA,2,AK,ALASKA,1236,2281,46362
6,CA,11,DC,DISTRICT OF COLUMBIA,1199,1510,76146
6,CA,30,MT,MONTANA,1120,1911,34476
6,CA,31,NE,NEBRASKA,1071,1985,39728
6,CA,28,MS,MISSISSIPPI,999,1990,37162
6,CA,33,NH,NEW HAMPSHIRE,797,1210,74308
6,CA,23,ME,MAINE,684,1087,23924
6,CA,44,RI,RHODE ISLAND,671,1106,30807
